Tip amount,Time,Day,Culture,Married,Age
0,5,Fri,I,NM,30
1,2,Tue,E,NM,10
1,7,Tues,I,NM,35
2,5,Mon,I,NM,35
2,12,Fri,M,NM,15
2,1,Thurs,B,NM,16
2,2,Sat,W,M,30
2,11,Sun,I,NM,30
3,4,Wed,W,NM,35
3,3,Mon,W,M,50
3,12,Mon,E,M,40
3,5,Wed,W,NM,30
3,11,Fri,W,NM,10
3,4,Tues,W,NM,25
3,3,Thurs,W,NM,17
3,5,Thurs,M,NM,30
3,7,Thurs,W,M,40
3,12,Fri,W,NM,25
3,11,Sun,W,NM,30
3,12,Sun,W,NM,6
3.5,1,Sat,W,Kid,6
3.5,1,Sun,B,NM,30
4,4,Wed,W,NM,30
4,2,Tue,I,M,40
4,4,Tue,P,M,35
4,5,Tue,E,NM,15
4,11,Mon,M,M,35
4,2,Wed,W,M,50
4,3,Fri,W,M,40
4,12,Thurs,E,M,30
4,1,Fri,M,NM,25
4,2,Fri,W,NM,30
4,4,Sat,W,NM,25
4,4,Tues,W,NM,25
4,2,Wed,M,M,70
4,4,Thurs,W,NM,12
4,6,Thurs,W,NM,30
4,7,Thurs,W,NM,30
4,11,Sun,W,NM,18
4,11,Sun,W,NM,10
4.5,1,Fri,I,M,40
4.5,7,Fri,E,NM,30
5,12,Sat,I,NM,30
5,11,Wed,W,NM,16
5,12,Wed,I,NM,30
5,1,Wed,I,M,40
5,3,Wed,I,NM,35
5,5,Tue,A,NM,20
5,6,Tue,W,M,30
5,6,Mon,W,NM,40
5,10,Mon,A,NM,25
5,11,Mon,W,NM,25
5,3,Mon,W,M,40
5,12,Wed,W,M,40
5,2,Wed,W,NM,25
5,3,Wed,M,NM,20
5,1,Fri,I,M,40
5,2,Fri,I,NM,30
5,4,Fri,I,M,40
5,8,Fri,A,M,50
5,10,Thurs,M,M,40
5,11,Thurs,W,M,40
5,2,Fri,W,M,45
5,12,Sat,I,NM,30
5,2,Sat,W,NM,30
5,12,Wed,W,NM,30
5,4,Thurs,M,NM,30
5,11,Fri,W,M,35
5,12,Fri,I,NM,35
5,1,Fri,W,M,30
6,3,Tue,W,M,70
6,3,Tue,I,M,40
6,4,Mon,W,NM,30
6,2,Fri,W,M,50
6,3,Fri,M,NM,20
6,6,Fri,W,NM,35
6,12,Fri,W,M,70
6,12,Fri,I,NM,30
6,12,Tues,W,M,70
6,1,Tues,W,M,30
6,11,Wed,A,NM,30
6,6,Thurs,M,NM,35
6,10,Sun,W,NM,35
7,1,Tue,W,M,40
7,10,Fri,P,NM,30
7,3,Fri,W,NM,60
7,3,Tues,W,NM,30
8,4,Mon,W,M,35
8,3,Tues,W,NM,25
9,1,Wed,W,NM,30
10,12,Sat,W,M,35
10,1,Wed,P,NM,30
10,6,Mon,W,M,40
10,3,Mon,W,NM,35
10,1,Wed,W,M,45
10,12,Thurs,M,NM,30
10,3,Fri,W,NM,30
10,1,Sat,W,M,35
10,3,Sat,A,NM,30
10,5,Sat,W,M,35
10,2,Tues,W,M,35
10,3,Thurs,M,NM,30
10,5,Thurs,W,NM,30
10,1,Sun,M,NM,40
10,2,Sun,M,NM,15
13,7,Fri,W,NM,30
15,11,Wed,W,NM,35
20,10,Wed,P,NM,35
20,10,Wed,P,NM,35
20,11,Fri,P,NM,35
20,11,Tues,I,M,40
20,6,Tues,P,NM,30
20,4,Thurs,W,NM,40
23,5,Wed,B,NM,35
