THE FIRST 114 LINES OF DATA HAVE SOME FORMATTING ISSUES.  SHE DIDN’T USE MILITARY TIME (BUT THE OPEN HOURS ARE 10AM TO 8PM).  ALSO THERE IS SOME VARIATION ON THE DAY OF WEEK SPELLINGS,,,,,,,,,
,,,,,,,,,
Tip amount,Time,Day,Culture,Married,Age,,,Culture Codes,
0,5,Fri,I,NM,30,,,I,Indian
1,2,Tue,E,NM,10,,,E,European
1,7,Tues,I,NM,35,,,B,African American
2,5,Mon,I,NM,35,,,W,American
2,12,Fri,M,NM,15,,,P,Phillipino
2,1,Thurs,B,NM,16,,,M,Middle Eastern
2,2,Sat,W,M,30,,,A,Asian
2,11,Sun,I,NM,30,,,,
3,4,Wed,W,NM,35,,,,
3,3,Mon,W,M,50,,,,
3,12,Mon,E,M,40,,,,
3,5,Wed,W,NM,30,,,,
3,11,Fri,W,NM,10,,,,
3,4,Tues,W,NM,25,,,,
3,3,Thurs,W,NM,17,,,,
3,5,Thurs,M,NM,30,,,,
3,7,Thurs,W,M,40,,,,
3,12,Fri,W,NM,25,,,,
3,11,Sun,W,NM,30,,,,
3,12,Sun,W,NM,6,,,,
3.5,1,Sat,W,Kid,6,,,,
3.5,1,Sun,B,NM,30,,,,
4,4,Wed,W,NM,30,,,,
4,2,Tue,I,M,40,,,,
4,4,Tue,P,M,35,,,,
4,5,Tue,E,NM,15,,,,
4,11,Mon,M,M,35,,,,
4,2,Wed,W,M,50,,,,
4,3,Fri,W,M,40,,,,
4,12,Thurs,E,M,30,,,,
4,1,Fri,M,NM,25,,,,
4,2,Fri,W,NM,30,,,,
4,4,Sat,W,NM,25,,,,
4,4,Tues,W,NM,25,,,,
4,2,Wed,M,M,70,,,,
4,4,Thurs,W,NM,12,,,,
4,6,Thurs,W,NM,30,,,,
4,7,Thurs,W,NM,30,,,,
4,11,Sun,W,NM,18,,,,
4,11,Sun,W,NM,10,,,,
4.5,1,Fri,I,M,40,,,,
4.5,7,Fri,E,NM,30,,,,
5,12,Sat,I,NM,30,,,,
5,11,Wed,W,NM,16,,,,
5,12,Wed,I,NM,30,,,,
